NAME			SPECIALIZATION			AGE			GENDER
fgdfgdgf			fgdfgdgf			12			MALE
5646			56			12			FEMALE
rishi			number28			28			MALE
yash			dkfls			28			MALE
yash			yash			11			MALE
rishi			rishi			11			MALE
deep			deep			11			MALE
pank			pank			11			MALE
kkkkkkkk			kkkkkkkkkk			11			TRANSGENDER
rishi			rishi			4			MALE
yash			yash			14			MALE
pankaj			pankaj			23			MALE
deepanshu			deepanshu			32			MALE
sar			sar			32			MALE
fsdfsd			dsfsdf			21			TRANSGENDER
rishi			aviation			19			MALE
yash			engineering			19			MALE
pankaj			mathematician			20			MALE
deepanshu			chemical_engineering			22			MALE
